fips,pm25_2000,pm25_2001,pm25_2002,pm25_2003,pm25_2004,pm25_2005,pm25_2006,pm25_2007,pm25_2008,pm25_2009,pm25_2010,pm25_2011,pm25_2012,pm25_2013,pm25_2014,pm25_2015,pm25_2016,pm25_2017,pm25_2018
5117,14.73364431,12.92174927,11.15889213,12.25848397,10.24979592,12.63941691,11.42682216,11.98927114,10.75282799,9.648221574,11.27026239,10.46116618,8.825714286,8.844723032,9.067696793,8.579766764,7.785947522,8.369037901,8.947696793
5121,12.59372458,10.74264962,10.66118536,11.28442766,9.05828007,11.33457292,10.02545032,11.38041836,9.58727484,8.492388146,9.701685067,9.751888437,7.397094712,7.96484602,8.021324811,7.849215572,6.805461941,7.419349216,7.992620569
5125,12.72083998,11.06512493,9.337852206,10.14370016,8.49553429,11.14976077,9.52450824,10.38989899,8.724082935,7.896384902,9.450558214,9.306804891,7.834130781,7.341945774,7.224561404,7.014194577,6.029399256,6.748591175,7.600318979
5131,10.64108417,9.627746077,9.144008559,9.964479315,9.018830243,10.83815977,9.407203994,10.06305278,8.524536377,8.151141227,9.617760342,9.601640514,7.42189729,8.106776034,7.160984308,6.747146933,6.390370899,7.044293866,7.323680456
5145,13.85263946,12.03129914,10.6385249,11.59277424,9.55492325,12.02306252,10.65866717,11.43837514,9.8419693,8.706065144,10.60632722,9.938712093,8.038599775,8.473081243,8.237476601,7.969711718,7.10580307,7.729614377,8.464919506
6007,6.628232711,6.973501647,8.154248079,6.964368825,6.229725576,5.727991218,6.71650933,7.193216246,9.402261251,6.062766191,5.592864984,8.230076839,7.473479693,7.228188804,6.082019759,6.269835346,5.072030735,6.826147091,10.40463227
6017,5.905615866,6.221231733,6.510020877,5.542421712,5.356743215,5.053340292,5.14480167,6.08434238,7.019686848,5.094363257,4.563465553,5.59256785,4.841753653,5.819123173,4.181837161,4.039290188,3.478392484,4.881106472,7.707661795
6023,2.418262873,2.639250651,4.56364456,3.158204769,2.822119816,3.254758565,4.186756161,3.103336005,5.757713885,3.136044881,2.564946904,3.329192547,3.778992186,3.261170106,3.065437788,3.813905029,1.823682629,4.721799239,6.116740132
6027,6.450563613,7.217547156,6.362147742,5.801596904,5.909209439,6.357514842,5.651037048,6.46898249,6.050443376,6.008859998,5.457597505,6.167975502,6.114064026,6.39086571,5.298545878,5.162583603,4.788231758,4.868835951,5.259183137
6061,6.282225505,6.557705564,6.919891679,6.108936484,5.738946332,5.314672575,5.683062531,6.353323486,7.570014771,5.40216642,4.859822747,6.426366322,5.445199409,6.155391433,4.708641064,4.728705071,3.934145741,5.466863614,8.221984244
6079,7.019901489,7.351718072,6.587803448,5.794300457,5.522411165,6.149044213,5.56444236,8.094101091,6.883206286,6.657112701,5.59553184,6.64325085,5.769098159,6.662718424,7.063562801,6.251753254,4.417497361,5.874785974,6.588096634
6089,4.143657316,4.58634174,5.337659394,4.770671578,4.25946916,4.17467649,4.60129404,4.496854633,6.87147445,4.261518844,3.561528289,5.025446302,5.522933787,4.648946822,4.017238122,4.864428072,2.854765278,5.464021914,8.952951733
6093,2.161184618,2.527138112,3.461882777,2.693986825,2.697944936,3.095388773,3.581971736,3.083947976,5.32891166,3.212595012,2.176161252,2.913062328,3.571673892,3.812797703,3.063965993,4.664354485,1.805754181,6.882472834,8.177833455
